ts,scenario,label,n_packets,total_bytes,cache_misses,instructions,branch_misses
1785726882.9540997,benign,0,132,14852,1005179.0,391343452.0,1129014.0
1785726883.9763663,benign,0,124,14250,963156.0,384675899.0,1086509.0
1785726884.9985373,benign,0,124,14244,3142938.0,645292391.0,2376958.0
1785726886.018798,benign,0,124,14246,2297896.0,612076709.0,1857979.0
1785726887.035355,benign,0,124,14246,956899.0,384004988.0,1078165.0
1785726888.0515363,benign,0,124,14244,953296.0,384957448.0,1055209.0
1785726889.0680568,benign,0,116,13636,1373201.0,556977512.0,1314996.0
1785726890.084622,benign,0,132,14850,986683.0,387658185.0,1121330.0
1785726891.101361,benign,0,124,14240,1042813.0,473653447.0,1121153.0
1785726892.1235774,benign,0,124,14238,957820.0,387405651.0,1069784.0
1785726893.1462064,benign,0,132,14858,1137432.0,470729473.0,1223649.0
1785726894.1726794,benign,0,122,15324,982174.0,401443643.0,1110716.0
1785726895.204487,benign,0,132,16490,3269987.0,747038449.0,2479279.0
1785726896.2291367,benign,0,158,18374,2758023.0,528451552.0,2114830.0
1785726897.2469585,benign,0,124,14252,1797607.0,435117429.0,1332643.0
1785726898.2635958,benign,0,140,15460,964520.0,386264398.0,1082769.0
1785726899.279796,benign,0,124,14240,963832.0,384657943.0,1079650.0
1785726900.296696,benign,0,124,14242,2193064.0,673693055.0,1653509.0
1785726901.321605,benign,0,124,14244,1255668.0,398662288.0,1140530.0
1785726902.3411462,benign,0,132,14856,984127.0,427091460.0,1119943.0
1785726903.3618112,benign,0,124,14238,950909.0,384488385.0,1066668.0
1785726904.382085,benign,0,132,14864,2115270.0,486515305.0,1781015.0
1785726905.4024396,benign,0,124,14244,3361785.0,577937531.0,2409266.0
1785726906.4237173,benign,0,116,13634,959040.0,384825708.0,1087929.0
1785726907.4463348,benign,0,124,14246,954623.0,386057962.0,1077703.0
1785726908.4688218,benign,0,156,16128,1052924.0,396977451.0,1182542.0
1785726909.491336,benign,0,144,14928,978808.0,390661408.0,1149838.0
1785726910.513105,benign,0,124,14250,2414424.0,518322008.0,1549694.0
1785726911.5331926,benign,0,132,14856,1004038.0,396638541.0,1157161.0
1785726912.5557249,benign,0,124,14246,1000566.0,392064419.0,1127416.0
1785726913.5780313,benign,0,132,14856,1406206.0,492448868.0,1338153.0
1785726914.6000752,benign,0,124,14246,2051588.0,474120198.0,1705370.0
1785726915.6221392,benign,0,108,13020,3338914.0,681561304.0,2383288.0
1785726916.6386895,benign,0,132,14858,962513.0,388743102.0,1096916.0
1785726917.655049,benign,0,124,14232,947371.0,383901995.0,1066335.0
1785726918.671367,benign,0,116,13642,947025.0,383812021.0,1057151.0
1785726919.6876552,benign,0,132,14846,975220.0,387016108.0,1086988.0
1785726920.7043853,benign,0,124,14244,2428789.0,523420539.0,1561708.0
1785726921.7267847,benign,0,132,14850,963407.0,385914778.0,1094493.0
1785726922.7491844,benign,0,116,13638,969723.0,390953618.0,1088100.0
1785726923.7717755,benign,0,124,14250,958180.0,384975619.0,1079074.0
1785726924.7941177,benign,0,132,14856,2108942.0,484125980.0,1780748.0
1785726925.816424,benign,0,116,13634,3566767.0,621033947.0,2558975.0
1785726926.8388915,benign,0,150,16118,1417670.0,493758499.0,1389480.0
1785726927.86106,benign,0,130,14684,979156.0,392000495.0,1114786.0
1785726928.8834703,benign,0,132,14838,969649.0,392131224.0,1088699.0
1785726929.9058144,benign,0,116,13632,963233.0,384204140.0,1080979.0
1785726930.9279754,benign,0,116,13642,1042562.0,432928479.0,1147607.0
1785726931.9506824,benign,0,140,15468,966412.0,384821639.0,1089666.0
1785726932.9728746,benign,0,108,13022,945245.0,384399164.0,1056129.0
1785726933.9955134,benign,0,124,14246,968031.0,390810396.0,1082108.0
1785726935.0180953,benign,0,132,14852,2060863.0,475988305.0,1720257.0
1785726936.0406337,benign,0,116,13634,3314648.0,569928190.0,2336083.0
1785726937.063357,benign,0,132,14858,990496.0,392273060.0,1134560.0
1785726938.085743,benign,0,124,14252,961918.0,385098684.0,1088704.0
1785726939.1079476,benign,0,124,14248,1022935.0,397095485.0,1144291.0
1785726940.1299,benign,0,124,14246,1424272.0,534062347.0,1364845.0
1785726941.15178,benign,0,132,14858,1052001.0,424630223.0,1144052.0
1785726942.186099,benign,0,142,18880,1048911.0,400574846.0,1224567.0
1785726943.2129006,benign,0,124,14246,1242988.0,565476070.0,1358205.0
1785726944.2348833,benign,0,150,17756,1018555.0,389061263.0,1135857.0
1785726945.2559583,benign,0,132,14848,2060396.0,474962865.0,1731851.0
1785726946.278077,benign,0,132,14846,3349394.0,576560231.0,2393333.0
1785726947.297531,benign,0,124,14236,967602.0,389554299.0,1092163.0
1785726948.3170583,benign,0,116,13626,949563.0,385258731.0,1081471.0
1785726949.339471,benign,0,124,14240,960452.0,438913408.0,1088767.0
1785726950.3607311,benign,0,124,14236,1039526.0,419102486.0,1113527.0
1785726951.383236,benign,0,124,14248,1389512.0,490184319.0,1338416.0
1785726952.4056344,benign,0,124,14246,956923.0,384959472.0,1088309.0
1785726953.4278414,benign,0,140,15458,963194.0,386700293.0,1085036.0
1785726954.4508212,benign,0,132,14858,982340.0,391345984.0,1092209.0
1785726955.4732597,benign,0,116,13624,2057873.0,475339180.0,1723034.0
1785726956.4959652,benign,0,124,14244,3334661.0,580771627.0,2393021.0
1785726957.5184386,benign,0,132,14854,968021.0,387465002.0,1104898.0
1785726958.540075,benign,0,124,14250,2336997.0,469589103.0,1498803.0
1785726959.5564208,benign,0,132,14856,1019091.0,393084471.0,1167807.0
1785726960.5727515,benign,0,116,13642,1043511.0,424014564.0,1129010.0
1785726961.589029,benign,0,124,14244,959680.0,382990761.0,1072602.0
1785726962.6055975,benign,0,132,14860,970117.0,387666691.0,1099177.0
1785726963.622604,benign,0,124,14248,2330886.0,477170166.0,1478394.0
1785726964.6463714,benign,0,124,14242,1687411.0,528809425.0,1577183.0
1785726965.6730535,benign,0,124,14248,3599531.0,578413239.0,2201811.0
1785726966.6977692,benign,0,132,14858,1067431.0,395364713.0,1232107.0
1785726967.7199686,benign,0,100,12418,926104.0,382505122.0,1039499.0
1785726968.7422817,benign,0,124,12342,2024198.0,425692515.0,1411905.0
1785726969.764156,benign,0,44,8156,901160.0,386208564.0,1021934.0
1785726970.7864103,benign,0,44,8156,957316.0,414509951.0,991290.0
1785726971.808823,benign,0,44,8152,887753.0,383983409.0,983053.0
1785726972.830858,benign,0,44,8156,902390.0,386217087.0,987791.0
1785726973.8530755,benign,0,44,8152,883809.0,382159034.0,955301.0
